127.0.0.1 - - [06/May/2022:09:18:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/May/2022:09:18:01 +0900] "GET /studyhtml5/js/j08/h01.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [06/May/2022:09:18:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2022:09:21:57 +0900] "GET /studyhtml5/js/j08/h01.html HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [06/May/2022:09:22:18 +0900] "GET /studyhtml5/js/j08/h01.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [06/May/2022:09:23:10 +0900] "GET /studyhtml5/js/j08/h01.html HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [06/May/2022:09:29:47 +0900] "GET /studyhtml5/js/j08/h02.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [06/May/2022:09:32:34 +0900] "GET /studyhtml5/js/j08/h02.html HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [06/May/2022:09:32:57 +0900] "GET /studyhtml5/js/j08/h02.html? HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [06/May/2022:09:35:04 +0900] "GET /studyhtml5/js/j08/h02.html? HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [06/May/2022:09:35:14 +0900] "GET /studyhtml5/js/j08/h02.html? HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [06/May/2022:09:35:18 +0900] "GET /studyhtml5/js/j08/h02.html? HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [06/May/2022:10:06:14 +0900] "GET /studyhtml5/js/j08/h03.html HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [06/May/2022:10:06:28 +0900] "GET /studyhtml5/js/j08/h03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:10:07:11 +0900] "GET /studyhtml5/js/j08/h03.html? HTTP/1.1" 200 939
